date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:29	644/644	---M--	200	added ('OK')	image/png	etag:%225f28f8b0-39a%22	https://templates.hibootstrap.com/pento/default/assets/img/favicon.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/favicon.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:29	37777/37777	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2005:56:55%20GMT	https://templates.hibootstrap.com/pento/default/index.html	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/index.html	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:30	1976/1976	---M--	200	added ('OK')	image/png	etag:%225f28f8b1-c5d%22	https://templates.hibootstrap.com/pento/default/assets/img/logo.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/logo.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:30	1732/1732	---M--	200	added ('OK')	image/png	etag:%225f28f8e4-6c4%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/banner-shape2.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/banner-shape2.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:30	2941/2941	---M--	200	added ('OK')	image/png	etag:%225f28f8e5-be2%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/banner-shape3.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/banner-shape3.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:30	1163/1163	---M--	200	added ('OK')	image/png	etag:%225f28f8e4-922%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/banner-icon.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/banner-icon.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:31	3262/3262	---M--	200	added ('OK')	image/png	etag:%225f28f8e4-cbe%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/banner-shape1.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/banner-shape1.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:31	4143/4143	---M--	200	added ('OK')	image/png	etag:%225f28f8e4-121d%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/about4.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/about4.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:32	3245/3245	---M--	200	added ('OK')	image/png	etag:%225f28f8e3-cd4%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/about2.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/about2.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:32	116664/116664	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8e4-1d94f%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/about1.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/about1.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:32	2381/2381	---M--	200	added ('OK')	image/png	etag:%225f28f8e3-94d%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/about3.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/about3.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:33	145403/145403	---M--	200	added ('OK')	image/png	etag:%225f28f8ec-23d04%22	https://templates.hibootstrap.com/pento/default/assets/img/home-two/among1.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-two/among1.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:34	794757/794757	---M--	200	added ('OK')	image/png	etag:%225f28f8e7-d1841%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/banner1.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/banner1.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
